,element,binding_energy,nuetron_number,element_name,proton_number
405,61Ga,515.6444,61,Ga,31
406,83Ge,706.0345,83,Ge,32
407,75Se,650.9288,75,Se,34
408,68Cu,591.7097,68,Cu,29
409,62Ga,528.1749,62,Ga,31
410,84Ge,711.1160,84,Ge,32
411,76Se,662.0833,76,Se,34
412,69Cu,599.9821,69,Cu,29
413,63Ga,540.9374,63,Ga,31
414,85Ge,713.7874,85,Ge,32
415,77Se,669.5017,77,Se,34
416,70Cu,605.7026,70,Cu,29
417,64Ga,551.1559,64,Ga,31
418,86Ge,718.4589,86,Ge,32
419,78Se,680.0002,78,Se,34
420,71Cu,613.3041,71,Cu,29
421,65Ga,563.0444,65,Ga,31
422,87Ge,720.8704,87,Ge,32
423,79Se,686.9637,79,Se,34
424,72Cu,618.5306,72,Cu,29
425,66Ga,572.1858,66,Ga,31
426,88Ge,725.1019,88,Ge,32
427,80Se,696.8772,80,Se,34
428,73Cu,625.8670,73,Cu,29
429,67Ga,583.4113,67,Ga,31
430,89Ge,726.8133,89,Ge,32
431,81Se,703.5787,81,Se,34
432,74Cu,630.6385,74,Cu,29
433,68Ga,591.6898,68,Ga,31
434,90Ge,730.5148,90,Ge,32
435,82Se,712.8541,82,Se,34
436,75Cu,637.4600,75,Cu,29
437,69Ga,601.9983,69,Ga,31
438,91Ge,731.5463,91,Ge,32
439,83Se,718.6726,83,Se,34
440,76Cu,642.1415,76,Cu,29
441,70Ga,609.6527,70,Ga,31
442,92Ge,734.9378,92,Ge,32
443,84Se,727.3531,84,Se,34
444,77Cu,648.4629,77,Cu,29
445,71Ga,618.9582,71,Ga,31
446,93Ge,735.8892,93,Ge,32
447,85Se,731.8926,85,Se,34
448,78Cu,652.3944,78,Cu,29
449,72Ga,625.4797,72,Ga,31
450,65As,546.3355,65,As,33
451,86Se,738.0840,86,Se,34
452,79Cu,658.1459,79,Cu,29
453,73Ga,634.6672,73,Ga,31
454,66As,558.9669,66,As,33
455,87Se,742.3255,87,Se,34
456,80Cu,660.1374,80,Cu,29
457,74Ga,641.0936,74,Ga,31
458,67As,571.6184,67,As,33
459,88Se,747.5070,88,Se,34
460,81Cu,663.3088,81,Cu,29
461,75Ga,649.5711,75,Ga,31
462,68As,581.9199,68,As,33
463,89Se,751.1535,89,Se,34
464,82Cu,664.7503,82,Cu,29
465,76Ga,655.6166,76,Ga,31
466,69As,594.1914,69,As,33
467,90Se,756.0799,90,Se,34
468,83Cu,667.5018,83,Cu,29
469,77Ga,663.5681,77,Ga,31
470,70As,603.5229,70,As,33
471,91Se,758.5414,91,Se,34
472,57Zn,469.3010,57,Zn,30
473,78Ga,668.8795,78,Ga,31
474,71As,615.1483,71,As,33
475,92Se,763.0229,92,Se,34
476,58Zn,486.8825,58,Zn,30
477,79Ga,676.1110,79,Ga,31
478,72As,623.5538,72,As,33
479,93Se,765.0344,93,Se,34
480,59Zn,500.0039,59,Zn,30
481,80Ga,680.8425,80,Ga,31
482,73As,634.3523,73,As,33
483,94Se,769.3058,94,Se,34
484,60Zn,515.0004,60,Zn,30
485,81Ga,687.5240,81,Ga,31
486,74As,642.3298,74,As,33
487,95Se,771.1273,95,Se,34
488,61Zn,525.2299,61,Zn,30
489,82Ga,690.9854,82,Ga,31
490,75As,652.5752,75,As,33
491,96Se,775.2788,96,Se,34
492,62Zn,538.1284,62,Zn,30
493,83Ga,695.0519,83,Ga,31
494,76As,659.9017,76,As,33
495,97Se,776.7603,97,Se,34
496,63Zn,547.2408,63,Zn,30
497,84Ga,697.7484,84,Ga,31
498,77As,669.6012,77,As,33
499,98Se,780.5317,98,Se,34
500,64Zn,559.1033,64,Zn,30
501,85Ga,701.2899,85,Ga,31
502,78As,676.5737,78,As,33
503,99Se,781.3832,99,Se,34
504,65Zn,567.0828,65,Zn,30
505,86Ga,703.6013,86,Ga,31
506,79As,685.4651,79,As,33
507,68Br,560.3050,68,Br,35
508,66Zn,578.1423,66,Zn,30
509,87Ga,707.0328,87,Ga,31
510,80As,692.0626,80,As,33
511,69Br,576.3465,69,Br,35
512,67Zn,585.1947,67,Zn,30
513,88Ga,708.5143,88,Ga,31
514,81As,700.5051,81,As,33
515,70Br,588.7580,70,Br,35
516,68Zn,595.3932,68,Zn,30
517,89Ga,711.5458,89,Ga,31
518,82As,706.1186,82,As,33
519,71Br,602.2795,71,Br,35
520,69Zn,601.8757,69,Zn,30
521,62Ge,517.6435,62,Ge,32
522,83As,713.9920,83,As,33
523,72Br,612.7609,72,Br,35
524,70Zn,611.0912,70,Zn,30
525,63Ge,530.7750,63,Ge,32
526,84As,718.2635,84,As,33
527,73Br,625.4324,73,Br,35
528,71Zn,616.9246,71,Zn,30
529,64Ge,545.9664,64,Ge,32
530,85As,723.7650,85,As,33
531,74Br,635.2049,74,Br,35
532,72Zn,625.8041,72,Zn,30
533,65Ge,556.0179,65,Ge,32
534,86As,727.6665,86,As,33
535,75Br,647.1174,75,Br,35
536,73Zn,631.1546,73,Zn,30
537,66Ge,569.2994,66,Ge,32
538,87As,732.4179,87,As,33
539,76Br,656.3378,76,Br,35
540,74Zn,639.5241,74,Zn,30
541,67Ge,578.4069,67,Ge,32
542,88As,735.1494,88,As,33
543,77Br,667.3553,77,Br,35
544,75Zn,644.4175,75,Zn,30
545,68Ge,590.8003,68,Ge,32
546,89As,739.6009,89,As,33
547,78Br,675.6448,78,Br,35
548,76Zn,652.2490,76,Zn,30
549,69Ge,598.9908,69,Ge,32
